baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
limitedmergers a40g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[29.3, 25.0, 0.0, 0.0]
limitedmergers a50g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[30.9, 25.0, 0.0, 0.0]
limitedmergers a60g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[32.2, 25.0, 0.0, 0.0]
limitedmergers a70g0s70: state=[1, 3, 1, 0, 1, 0],  prices=[-0.6, -0.0, 25.0, 1.0]
limitedmergers a80g0s70: state=[1, 1, 1, 1, 0, 0],  prices=[37.2, 25.0, 0.0, 0.0]
limitedmergers a90g0s70: state=[1, 2, 1, 0, 1, 0],  prices=[-0.7, -0.0, 25.0, 1.0]
limitedmergers a0g0s80: dist=0.06664978369235497
limitedmergers a10g0s80: state=[2, 2, 1, 1, 0, 0],  prices=[34.1, 25.1, 0.0, 0.0]
limitedmergers a20g0s80: state=[2, 2, 1, 1, 0, 0],  prices=[38.1, 25.2, 0.0, 0.0]
limitedmergers a30g0s80: state=[2, 2, 1, 1, 0, 0],  prices=[41.3, 25.3, 0.0, 0.0]
limitedmergers a40g0s80: state=[1, 1, 1, 1, 0, 0],  prices=[40.2, 25.0, 0.0, 0.0]
limitedmergers a50g0s80: state=[1, 1, 1, 1, 0, 0],  prices=[42.3, 25.0, 0.0, 0.0]
limitedmergers a60g0s80: state=[1, 1, 1, 1, 0, 0],  prices=[43.2, 25.0, 0.0, 0.0]
limitedmergers a70g0s80: state=[1, 1, 1, 1, 0, 0],  prices=[44.6, 25.0, 0.0, 0.0]
limitedmergers a80g0s80: state=[1, 1, 1, 1, 0, 0],  prices=[44.6, 25.0, 0.0, 0.0]
limitedmergers a90g0s80: dist=1.0913383264615097
limitedmergers a0g0s90: dist=0.660106629933976
limitedmergers a10g0s90: state=[4, 3, 1, 1, 0, 0],  prices=[11.2, 25.2, 0.0, 0.0]
limitedmergers a20g0s90: dist=0.19183353217100851
limitedmergers a30g0s90: state=[1, 1, 1, 1, 0, 0],  prices=[39.3, 25.0, 0.0, 0.0]
limitedmergers a40g0s90: state=[1, 1, 1, 1, 0, 0],  prices=[40.4, 25.0, 0.0, 0.0]
limitedmergers a50g0s90: state=[1, 1, 1, 1, 0, 0],  prices=[43.0, 25.0, 0.0, 0.0]
limitedmergers a60g0s90: dist=0.3286011864554723
limitedmergers a70g0s90: dist=0.91091262623776
limitedmergers a80g0s90: state=[1, 1, 1, 1, 0, 0],  prices=[51.2, 25.0, 0.0, 0.0]
limitedmergers a90g0s90: state=[1, 1, 1, 1, 0, 0],  prices=[52.6, 25.0, 0.0, 0.0]
limitedmergers a0g0s100: dist=1.3606373905398899
limitedmergers a10g0s100: state=[2, 1, 1, 1, 0, 0],  prices=[14.2, 25.0, 0.0, 0.0]
limitedmergers a20g0s100: state=[4, 4, 1, 1, 0, 0],  prices=[9.4, 25.4, 0.0, 0.0]
limitedmergers a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
limitedmergers a40g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
