alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
1.0,0.95,1.0,0.0,1.0,9.0,300,-6.074,0.628,0.2323,0.9053,0.0,0.0,2.418,0.4382,2.855,0.0,0.98,0.0,2.57,0.3948,2.965
1.0,0.95,1.0,0.0,1.0,9.0,400,-7.547,0.6284,0.0003777,0.95,0.0,0.0,0.2184,2.719,2.938,0.0,0.987,0.0,2.586,0.379,2.965
0.1,0.95,1.0,0.0,1.0,1.0,200,0.576,0.0,1.452,0.0,0.0,0.0,1.716,0.91,2.625,0.0,0.0,0.0,1.94,1.059,3.0
0.1,0.95,1.0,0.0,1.0,1.0,300,0.647,0.0,0.749,0.0,0.0,0.0,1.81,0.973,2.783,0.0,0.0,0.0,1.94,1.059,3.0
0.1,0.95,1.0,0.0,1.0,1.0,400,0.8765,0.0,0.0,0.0,0.0,0.0,1.905,1.055,2.96,0.0,0.0,0.0,1.94,1.059,3.0
0.1,0.95,1.0,0.0,1.0,10.0,200,1.151,0.1548,0.7705,0.01051,0.0,0.0,1.394,0.7114,2.105,0.0,0.294,0.0,0.838,1.467,2.305
0.1,0.95,1.0,0.0,1.0,10.0,300,1.123,0.1259,0.2103,0.05862,0.0,0.0,1.209,0.9033,2.111,0.0,0.1849,0.0,0.676,1.647,2.324
0.1,0.95,1.0,0.0,1.0,10.0,400,-5.48,0.6387,0.001924,0.938,0.0,0.0,0.1951,1.989,2.184,0.0,0.995,0.0,1.883,0.2988,2.182
0.1,0.95,1.0,0.0,1.0,2.0,200,0.584,0.0,1.299,0.0,0.0,0.0,1.511,0.9385,2.45,0.0,0.0,0.0,1.634,1.146,2.78
0.1,0.95,1.0,0.0,1.0,2.0,300,0.4978,0.0,0.68,0.0,0.0,0.0,1.565,1.0205,2.586,0.0,0.0,0.0,1.634,1.146,2.78
0.1,0.95,1.0,0.0,1.0,2.0,400,0.6978,0.0,0.0,0.0,0.0,0.0,1.599,1.144,2.742,0.0,0.0,0.0,1.634,1.146,2.78
0.1,0.95,1.0,0.0,1.0,3.0,200,0.623,0.0,1.097,0.0,0.0,0.0,1.324,1.028,2.354,0.0,0.0,0.0,1.291,1.373,2.664
0.1,0.95,1.0,0.0,1.0,3.0,300,0.3726,0.0,0.585,0.0,0.0,0.0,1.326,1.156,2.482,0.0,0.0,0.0,1.291,1.373,2.664
0.1,0.95,1.0,0.0,1.0,3.0,400,0.5195,0.0,0.0,0.0,0.0,0.0,1.257,1.369,2.625,0.0,0.0,0.0,1.291,1.373,2.664
0.1,0.95,1.0,0.0,1.0,4.0,200,0.667,0.0,0.8955,0.0,0.0,0.0,1.216,1.054,2.27,0.0,0.0,0.0,0.996,1.566,2.562
0.1,0.95,1.0,0.0,1.0,4.0,300,0.2773,0.0,0.4856,0.0,0.0,0.0,1.157,1.235,2.393,0.0,0.0,0.0,0.996,1.566,2.562
0.1,0.95,1.0,0.0,1.0,4.0,400,0.3716,0.0,0.0,0.0,0.0,0.0,0.962,1.5625,2.525,0.0,0.0,0.0,0.996,1.566,2.562
0.1,0.95,1.0,0.0,1.0,5.0,200,0.707,0.0,0.7456,0.0,0.0,0.0,1.194,1.025,2.219,0.0,0.0,0.0,0.8,1.694,2.494
0.1,0.95,1.0,0.0,1.0,5.0,300,0.2118,0.0,0.4094,0.0,0.0,0.0,1.081,1.253,2.334,0.0,0.0,0.0,0.8,1.694,2.494
0.1,0.95,1.0,0.0,1.0,5.0,400,0.2732,0.0,0.0,0.0,0.0,0.0,0.7656,1.691,2.457,0.0,0.0,0.0,0.8,1.694,2.494
0.1,0.95,1.0,0.0,1.0,6.0,200,0.7407,0.0,0.636,0.0,0.0,0.0,1.216,0.973,2.188,0.0,0.0,0.0,0.6665,1.781,2.447
