alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly
0.3,2.0,20,0.2379,0.3713,1.083,0.0,0.1017,1.161,1.48,2.643,0.0
0.3,2.0,21,0.2131,0.266,0.858,0.0,1.0,1.1,1.522,2.621,0.0
0.3,2.0,30,0.04712,0.293,0.549,0.0,0.0946,1.141,1.63,2.77,0.0
0.3,2.0,31,-0.4517,0.8647,0.3977,0.0,1.0,1.041,1.71,2.752,0.0
0.3,2.0,40,0.0701,0.2607,0.0,0.0,0.0,1.181,1.709,2.889,0.0
0.3,2.0,41,-0.3542,0.78,0.0,0.0,1.0,1.023,1.839,2.863,0.0
0.3,2.0,43,0.09845,0.2272,0.0,0.0,1.0,0.7554,2.223,2.979,0.0
0.3,3.0,20,0.252,0.3923,0.858,0.0,0.2754,1.027,1.443,2.47,0.0
0.3,3.0,21,0.2988,0.1697,0.573,0.0,1.0,1.054,1.404,2.457,0.0
0.3,3.0,30,-0.174,0.6304,0.4817,0.0,0.202,0.9087,1.693,2.602,0.0
0.3,3.0,31,-0.6606,0.983,0.3174,0.0,1.0,0.829,1.748,2.576,0.0
0.3,3.0,40,-0.1227,0.569,0.0,0.0,0.0,0.9375,1.781,2.719,0.0
0.3,3.0,41,-0.4849,0.921,0.0,0.0,1.0,0.7627,1.921,2.684,0.0
0.3,3.0,43,-0.04843,0.545,0.0,0.0,1.0,0.4634,2.295,2.758,0.0
0.3,4.0,20,0.3213,0.358,0.6406,1.13e-6,0.41,1.031,1.351,2.38,0.0
0.3,4.0,21,0.4563,0.1015,0.3613,6.6e-7,1.0,1.134,1.245,2.379,0.0
0.3,4.0,30,-0.4302,0.715,0.4226,3.123e-5,0.268,0.7393,1.774,2.514,0.0
0.3,4.0,31,-1.246,1.0,0.2502,9.793e-5,1.0,0.7065,1.783,2.49,0.0
0.3,4.0,40,-0.2563,0.6274,0.0,0.0,0.0,0.738,1.893,2.63,0.0
0.3,4.0,41,-1.947,0.997,0.001619,0.00953,1.0,0.547,2.035,2.582,0.0
0.3,4.0,43,-0.9604,0.859,0.07794,0.603,1.0,0.2374,2.293,2.53,0.0
0.3,5.0,20,0.4678,0.2385,0.3477,0.015335,0.4988,1.56,0.689,2.248,0.812
0.3,5.0,21,0.6865,0.001788,0.0858,0.01337,1.0,1.682,0.598,2.28,0.8125
0.3,5.0,30,-4.4,0.641,0.2253,0.8784,0.5796,0.574,1.718,2.293,0.771
0.3,5.0,31,-6.47,0.646,0.0789,0.745,0.998,1.064,1.252,2.316,0.778
0.3,5.0,40,-4.824,0.6416,0.008385,1.012,0.7305,0.3516,2.002,2.354,0.7695
0.3,5.0,41,-7.082,0.6465,0.01656,1.138,0.9927,0.3318,1.999,2.33,0.776
0.3,5.0,43,-3.01,0.628,0.01707,1.365,1.0,0.06015,2.283,2.344,0.7856
0.3,6.0,20,0.4844,0.2405,0.3362,0.01732,0.4963,1.666,0.597,2.264,0.917
0.3,6.0,21,0.698,0.006115,0.05933,0.01251,1.0,1.785,0.5093,2.295,0.917
0.3,6.0,30,-4.855,0.6406,0.2007,0.92,0.5767,0.5845,1.712,2.297,0.89
0.3,6.0,31,-6.707,0.64,0.05615,0.759,0.994,0.973,1.349,2.322,0.8955
0.3,6.0,40,-5.6,0.692,0.00771,1.126,0.797,0.3447,2.002,2.346,0.8916
0.3,6.0,41,-7.195,0.7144,0.0147,1.286,0.9946,0.337,1.993,2.33,0.894
0.3,6.0,43,-3.904,0.7085,0.01503,1.572,1.0,0.0417,2.299,2.342,0.897
0.3,7.0,20,0.538,0.2313,0.3276,0.01785,0.4897,1.738,0.5386,2.277,0.9517
0.3,7.0,21,0.7314,0.002682,0.04446,0.0107,1.0,1.854,0.4524,2.307,0.9517
0.3,7.0,30,-5.027,0.612,0.188,0.937,0.552,0.586,1.717,2.303,0.9385
0.3,7.0,31,-4.812,0.6377,0.0412,0.758,0.997,1.335,0.994,2.328,0.9414
