alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.2,4.0,31,0.259,0.257,0.2544,1.386,1.0,0.7046,1.597,2.3,0.0,0.0,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0,0.0,0.0
0.2,4.0,41,-0.1382,0.449,0.004982,2.46,1.0,0.4724,1.903,2.375,0.0,0.0,0.0
0.2,4.0,43,-1.561,0.4744,0.1802,1.12,1.0,0.0952,2.148,2.242,0.0,0.0,0.0
0.2,5.0,20,0.1312,0.02696,0.5674,0.1394,0.7144,1.252,0.637,1.889,0.7656,0.9897,0.77
0.2,5.0,21,0.635,0.0005727,0.09955,0.05576,1.0,1.515,0.5996,2.115,0.766,0.99,0.7705
0.2,5.0,30,0.1428,0.03717,0.2637,0.8457,0.9316,1.294,0.6943,1.988,0.7637,0.9873,0.768
0.2,5.0,31,0.5503,0.01697,0.0895,1.571,1.0,1.463,0.6733,2.137,0.763,0.987,0.7676
0.2,5.0,40,-0.5254,0.2925,0.01473,1.981,0.9995,0.8784,1.208,2.086,0.7637,0.987,0.7676
0.2,5.0,41,-0.8394,0.3745,0.01614,2.906,1.0,0.717,1.439,2.156,0.7627,0.986,0.7666
0.2,5.0,43,-2.643,0.345,0.0566,1.189,1.0,0.03195,2.117,2.148,0.7656,0.9897,0.77
0.2,6.0,20,0.1547,0.02892,0.6177,0.1741,0.7656,1.377,0.537,1.915,0.901,0.9897,0.9097
0.2,6.0,21,0.6714,0.0002823,0.07745,0.04517,1.0,1.623,0.5034,2.127,0.9014,0.99,0.9097
0.2,6.0,30,0.222,0.03674,0.2803,0.921,0.9604,1.437,0.572,2.008,0.901,0.9897,0.909
0.2,6.0,31,0.6187,0.007328,0.0662,1.559,1.0,1.588,0.552,2.139,0.901,0.9897,0.909
0.2,6.0,40,-0.2391,0.2754,0.01894,2.12,1.0,1.1455,0.951,2.096,0.901,0.9893,0.909
0.2,6.0,41,-0.476,0.3657,0.0189,2.975,1.0,1.021,1.132,2.154,0.9004,0.9893,0.9087
0.2,6.0,43,-2.857,0.341,0.04474,1.241,1.0,0.02402,2.13,2.154,0.901,0.9897,0.909
0.2,7.0,20,0.17,0.02838,0.629,0.1862,0.788,1.452,0.4795,1.932,0.9434,0.993,0.9497
0.2,7.0,21,0.6997,0.0001601,0.05716,0.0337,1.0,1.693,0.4446,2.139,0.9434,0.993,0.9497
0.2,7.0,30,0.2532,0.03284,0.2778,0.94,0.97,1.516,0.509,2.025,0.9434,0.993,0.9497
0.2,7.0,31,0.649,0.0047,0.04904,1.551,1.0,1.661,0.488,2.148,0.9434,0.993,0.949
0.2,7.0,40,-0.1987,0.2568,0.0163,2.115,1.0,1.237,0.864,2.102,0.9434,0.993,0.9497
0.2,7.0,41,-0.473,0.3525,0.0163,3.01,1.0,1.099,1.06,2.158,0.9434,0.993,0.949
0.2,7.0,43,-2.98,0.3467,0.03128,1.213,1.0,0.02397,2.139,2.164,0.9434,0.993,0.9497
0.2,8.0,20,0.1825,0.0279,0.6353,0.1931,0.8027,1.507,0.4382,1.945,0.9624,0.995,0.9673
0.2,8.0,21,0.7227,9.9e-5,0.04324,0.02556,1.0,1.745,0.4019,2.146,0.9624,0.995,0.9673
0.2,8.0,30,0.2793,0.03044,0.2747,0.949,0.976,1.574,0.4624,2.037,0.9624,0.995,0.9673
0.2,8.0,31,0.678,0.003784,0.03738,1.545,1.0,1.718,0.4395,2.156,0.9624,0.995,0.9673
0.2,8.0,40,-0.1768,0.2451,0.013374,2.105,1.0,1.297,0.8096,2.105,0.9624,0.995,0.9673
0.2,8.0,41,-0.4863,0.3462,0.01338,3.025,1.0,1.145,1.02,2.164,0.9624,0.995,0.9673
0.2,8.0,43,-3.082,0.342,0.02437,1.259,1.0,0.01979,2.148,2.168,0.9624,0.995,0.9673
0.2,9.0,20,0.1926,0.02753,0.639,0.1981,0.813,1.55,0.4062,1.956,0.973,0.9966,0.9766
0.2,9.0,21,0.741,6.527e-5,0.03372,0.01991,1.0,1.786,0.3684,2.154,0.973,0.9966,0.9766
0.2,9.0,30,0.2998,0.02869,0.2717,0.9556,0.9795,1.62,0.4265,2.047,0.973,0.9966,0.9766
0.2,9.0,31,0.7017,0.003141,0.02933,1.541,1.0,1.762,0.4014,2.164,0.973,0.9966,0.9766
0.2,9.0,40,-0.1642,0.2372,0.01097,2.096,1.0,1.34,0.7715,2.111,0.973,0.9966,0.9766
0.2,9.0,41,-0.5034,0.3418,0.01097,3.033,1.0,1.175,0.994,2.17,0.973,0.9966,0.9766
0.2,9.0,43,-3.162,0.3389,0.01936,1.291,1.0,0.0168,2.156,2.174,0.973,0.9966,0.9766
0.3,1.0,20,0.375,0.0,1.353,0.0,0.0,1.534,1.737,3.271,0.0,0.0,0.0
0.3,1.0,21,0.3667,0.0,1.201,0.705,1.0,1.211,1.816,3.027,0.0,0.0,0.0
0.3,1.0,30,0.4028,0.0,0.6733,0.0,0.0,1.571,1.843,3.414,0.0,0.0,0.0
0.3,1.0,31,0.3706,0.0,0.6,1.604,1.0,1.219,1.94,3.158,0.0,0.0,0.0
0.3,1.0,40,0.4028,0.0,0.0,0.0,0.0,1.62,1.926,3.547,0.0,0.0,0.0
0.3,1.0,41,0.3271,0.0,0.0,2.5,1.0,1.259,2.033,3.291,0.0,0.0,0.0
0.3,1.0,43,0.3477,0.0,0.0,0.0,1.0,1.193,2.383,3.576,0.0,0.0,0.0
0.3,2.0,20,0.2468,0.3594,1.096,0.0,0.0,1.173,1.473,2.646,0.0,0.0,0.0
0.3,2.0,21,0.4143,0.00709,0.753,0.4075,1.0,1.033,1.491,2.523,0.0,0.0,0.0
0.3,2.0,30,0.0701,0.2607,0.5557,0.0,0.0,1.154,1.619,2.773,0.0,0.0,0.0
0.3,2.0,31,0.1893,0.2402,0.4143,1.4795,1.0,0.911,1.728,2.639,0.0,0.0,0.0
0.3,2.0,40,0.0701,0.2607,0.0,0.0,0.0,1.181,1.709,2.889,0.0,0.0,0.0
0.3,2.0,41,0.0913,0.2505,0.0,2.5,1.0,0.8975,1.854,2.75,0.0,0.0,0.0
0.3,2.0,43,0.09845,0.2272,0.0,0.0,1.0,0.7554,2.223,2.979,0.0,0.0,0.0
0.3,3.0,20,0.2705,0.381,0.914,0.003075,0.02371,1.044,1.443,2.486,0.0,0.0,0.0
0.3,3.0,21,0.514,0.006233,0.4722,0.2454,1.0,1.0625,1.336,2.398,0.0,0.0,0.0
0.3,3.0,30,-0.1227,0.569,0.4983,0.0,0.0,0.9385,1.673,2.611,0.0,0.0,0.0
0.3,3.0,31,0.182,0.279,0.318,1.421,1.0,0.7617,1.751,2.512,0.0,0.0,0.0
0.3,3.0,40,-0.1227,0.569,0.0,0.0,0.0,0.9375,1.781,2.719,0.0,0.0,0.0
0.3,3.0,41,-0.01634,0.4792,0.0,2.5,1.0,0.6646,1.94,2.605,0.0,0.0,0.0
0.3,3.0,43,-0.04843,0.545,0.0,0.0,1.0,0.4634,2.295,2.758,0.0,0.0,0.0
0.3,4.0,20,0.337,0.3486,0.7236,0.009445,0.0989,1.018,1.384,2.4,0.0,0.0,0.0
0.3,4.0,21,0.5957,0.002253,0.2847,0.1462,1.0,1.211,1.133,2.344,0.0,0.0,0.0
0.3,4.0,30,-0.306,0.607,0.4387,0.05212,0.05817,0.759,1.765,2.523,0.0,0.0,0.0
0.3,4.0,31,0.256,0.2452,0.2288,1.406,1.0,0.7695,1.687,2.455,0.0,0.0,0.0
0.3,4.0,40,-0.2563,0.6274,0.0,0.0,0.0,0.738,1.893,2.63,0.0,0.0,0.0
0.3,4.0,41,-0.336,0.4446,0.00688,2.438,1.0,0.382,2.14,2.523,0.0,0.0,0.0
0.3,4.0,43,-1.911,0.4458,0.163,1.1875,1.0,0.07806,2.307,2.385,0.0,0.0,0.0
0.3,5.0,20,0.1444,0.04422,0.6006,0.1672,0.7725,1.417,0.6274,2.045,0.8457,0.992,0.8496
0.3,5.0,21,0.667,0.0004609,0.0872,0.04987,1.0,1.6875,0.5923,2.28,0.8457,0.9927,0.85
0.3,5.0,30,0.1519,0.1625,0.265,0.9087,0.96,1.46,0.69,2.15,0.844,0.9907,0.8486
0.3,5.0,31,0.57,0.2366,0.07874,1.567,1.0,1.631,0.669,2.3,0.8438,0.99,0.848
0.3,5.0,40,-0.6157,0.307,0.01672,2.08,1.0,1.021,1.226,2.248,0.844,0.9907,0.8486
0.3,5.0,41,-1.032,0.366,0.01692,2.941,1.0,0.8145,1.502,2.316,0.8438,0.99,0.848
0.3,5.0,43,-2.992,0.3447,0.0495,1.188,1.0,0.03017,2.283,2.314,0.8457,0.992,0.8496
0.3,6.0,20,0.1709,0.03082,0.6475,0.1982,0.813,1.53,0.5405,2.07,0.925,0.9917,0.9326
0.3,6.0,21,0.7046,0.0002141,0.0677,0.03973,1.0,1.786,0.508,2.295,0.925,0.9917,0.9326
0.3,6.0,30,0.24,0.0336,0.283,0.9614,0.977,1.594,0.5786,2.172,0.925,0.9917,0.9326
0.3,6.0,31,0.6455,0.005222,0.05817,1.555,1.0,1.75,0.5576,2.307,0.925,0.9917,0.9326
0.3,6.0,40,-0.3206,0.2659,0.01807,2.121,1.0,1.268,0.9863,2.254,0.925,0.9917,0.9326
0.3,6.0,41,-0.633,0.3574,0.01799,2.996,1.0,1.11,1.209,2.318,0.925,0.9917,0.9326
0.3,6.0,43,-3.168,0.3513,0.03583,1.158,1.0,0.0289,2.295,2.324,0.925,0.9917,0.9326
0.3,7.0,20,0.1886,0.03027,0.66,0.2095,0.832,1.6045,0.4849,2.09,0.955,0.9946,0.9604
0.3,7.0,21,0.734,0.0001225,0.04935,0.02913,1.0,1.8545,0.4514,2.307,0.955,0.9946,0.9604
0.3,7.0,30,0.2817,0.03058,0.282,0.9746,0.9834,1.674,0.5137,2.188,0.955,0.994,0.9604
0.3,7.0,31,0.6855,0.004044,0.0426,1.548,1.0,1.825,0.492,2.316,0.955,0.994,0.9604
0.3,7.0,40,-0.2462,0.25,0.014786,2.11,1.0,1.368,0.8916,2.26,0.955,0.994,0.9604
0.3,7.0,41,-0.5786,0.3489,0.01476,3.02,1.0,1.204,1.122,2.326,0.955,0.994,0.9604
0.3,7.0,43,-3.305,0.345,0.02725,1.223,1.0,0.02307,2.309,2.332,0.955,0.9946,0.9604
0.3,8.0,20,0.2023,0.02966,0.673,0.2146,0.8438,1.657,0.4456,2.104,0.9697,0.996,0.9736
0.3,8.0,21,0.7573,7.623e-5,0.03726,0.02202,1.0,1.907,0.4092,2.316,0.9697,0.996,0.9736
0.3,8.0,30,0.3,0.02962,0.285,0.9746,0.984,1.728,0.4695,2.197,0.9697,0.996,0.9736
0.3,8.0,31,0.716,0.003262,0.03238,1.543,1.0,1.882,0.4436,2.324,0.9697,0.996,0.9736
0.3,8.0,40,-0.2124,0.2399,0.01193,2.1,1.0,1.431,0.835,2.266,0.9697,0.996,0.9736
0.3,8.0,41,-0.571,0.3435,0.011925,3.031,1.0,1.257,1.075,2.332,0.9697,0.996,0.9736
0.3,8.0,43,-3.406,0.3408,0.02113,1.266,1.0,0.01913,2.318,2.338,0.9697,0.996,0.9736
0.3,9.0,20,0.2131,0.02922,0.681,0.2179,0.8525,1.699,0.4148,2.113,0.978,0.997,0.981
0.3,9.0,21,0.7764,5.05e-5,0.02902,0.01714,1.0,1.948,0.3757,2.324,0.978,0.997,0.981
0.3,9.0,30,0.3123,0.029,0.287,0.974,0.9844,1.769,0.4353,2.205,0.978,0.997,0.981
0.3,9.0,31,0.7397,0.002728,0.02538,1.539,1.0,1.926,0.4058,2.332,0.978,0.997,0.981
0.3,9.0,40,-0.1982,0.233,0.0097,2.09,1.0,1.473,0.798,2.271,0.978,0.997,0.981
0.3,9.0,41,-0.5845,0.3396,0.00969,3.037,1.0,1.288,1.05,2.338,0.978,0.997,0.981
0.3,9.0,43,-3.486,0.3376,0.01675,1.296,1.0,0.0163,2.326,2.342,0.978,0.997,0.981
0.4,1.0,20,0.354,0.0,1.373,0.0,0.0,1.582,1.846,3.428,0.0,0.0,0.0
0.4,1.0,21,0.3586,0.0,1.202,0.706,1.0,1.254,1.928,3.182,0.0,0.0,0.0
0.4,1.0,30,0.3489,0.0,0.6733,0.0,0.0,1.613,1.959,3.572,0.0,0.0,0.0
0.4,1.0,31,0.3289,0.0,0.587,1.595,1.0,1.251,2.064,3.316,0.0,0.0,0.0
0.4,1.0,40,0.3489,0.0,0.0,0.0,0.0,1.662,2.043,3.705,0.0,0.0,0.0
0.4,1.0,41,0.2844,0.0,0.0,2.5,1.0,1.289,2.158,3.447,0.0,0.0,0.0
0.4,1.0,43,0.3066,0.0,0.0,0.0,1.0,1.221,2.531,3.752,0.0,0.0,0.0
0.4,2.0,20,0.2296,0.4,1.101,0.0,0.0,1.209,1.612,2.82,0.0,0.0,0.0
0.4,2.0,21,0.4253,0.00953,0.7246,0.39,1.0,1.083,1.611,2.695,0.0,0.0,0.0
0.4,2.0,30,-0.03992,0.4822,0.5557,0.0,0.0,1.165,1.788,2.953,0.0,0.0,0.0
0.4,2.0,31,0.1299,0.3054,0.4001,1.471,1.0,0.9126,1.903,2.816,0.0,0.0,0.0
0.4,2.0,40,-0.03992,0.4822,0.0,0.0,0.0,1.19,1.878,3.068,0.0,0.0,0.0
0.4,2.0,41,0.01685,0.4707,0.0,2.5,1.0,0.8906,2.035,2.926,0.0,0.0,0.0
0.4,2.0,43,0.0218,0.4387,0.0,0.0,1.0,0.7207,2.432,3.152,0.0,0.0,0.0
0.4,3.0,20,0.283,0.3975,0.882,0.005756,0.04755,1.082,1.57,2.652,0.0,0.0,0.0
0.4,3.0,21,0.5454,0.00477,0.418,0.2157,1.0,1.165,1.402,2.568,0.0,0.0,0.0
0.4,3.0,30,-0.2744,0.7104,0.4976,0.005657,0.006805,0.907,1.879,2.785,0.0,0.0,0.0
0.4,3.0,31,0.1641,0.268,0.2957,1.408,1.0,0.7646,1.93,2.693,0.0,0.0,0.0
0.4,3.0,40,-0.2695,0.7144,0.0,0.0,0.0,0.908,1.985,2.893,0.0,0.0,0.0
0.4,3.0,41,-0.0881,0.484,0.0,2.5,1.0,0.6265,2.15,2.777,0.0,0.0,0.0
0.4,3.0,43,-0.1296,0.6987,0.0,0.0,1.0,0.415,2.514,2.93,0.0,0.0,0.0
0.4,4.0,20,0.4546,0.256,0.3584,0.03226,0.3071,1.541,0.8784,2.42,0.614,0.9834,0.6187
0.4,4.0,21,0.651,0.0007863,0.1143,0.0623,1.0,1.713,0.742,2.455,0.6143,0.984,0.619
0.4,4.0,30,-2.867,0.552,0.2817,0.8286,0.6333,0.73,1.731,2.46,0.595,0.954,0.6
0.4,4.0,31,0.497,0.2401,0.102,1.576,1.0,1.625,0.8584,2.484,0.6113,0.9795,0.616
0.4,4.0,40,-3.857,0.5034,0.00799,1.555,0.6743,0.4363,2.105,2.541,0.603,0.9663,0.608
0.4,4.0,41,-1.259,0.3818,0.01492,2.861,1.0,0.6826,1.827,2.51,0.61,0.9775,0.6147
0.4,4.0,43,-3.045,0.3496,0.06323,1.112,1.0,0.04184,2.457,2.498,0.614,0.9834,0.6187
0.4,5.0,20,0.1603,0.0501,0.6426,0.1987,0.8267,1.599,0.627,2.225,0.889,0.992,0.896
0.4,5.0,21,0.703,0.00035,0.08,0.04645,1.0,1.876,0.594,2.47,0.889,0.992,0.896
0.4,5.0,30,0.1737,0.1667,0.2744,0.965,0.9795,1.648,0.6875,2.336,0.889,0.992,0.8955
0.4,5.0,31,0.601,0.2267,0.07166,1.5625,1.0,1.822,0.664,2.486,0.889,0.992,0.8955
0.4,5.0,40,-0.6714,0.3035,0.01846,2.12,1.0,1.188,1.238,2.426,0.889,0.992,0.8955
0.4,5.0,41,-1.135,0.3618,0.01819,2.969,1.0,0.9614,1.539,2.5,0.8887,0.992,0.8955
0.4,5.0,43,-3.352,0.3582,0.0401,1.073,1.0,0.03635,2.473,2.508,0.889,0.992,0.896
0.4,6.0,20,0.19,0.0326,0.6885,0.2213,0.857,1.704,0.549,2.252,0.9414,0.993,0.948
0.4,6.0,21,0.7417,0.0001624,0.0586,0.03452,1.0,1.971,0.5156,2.486,0.9414,0.993,0.948
0.4,6.0,30,0.2489,0.03302,0.2964,0.9844,0.9844,1.764,0.59,2.354,0.9414,0.993,0.948
0.4,6.0,31,0.681,0.004547,0.05063,1.552,1.0,1.935,0.5645,2.5,0.9414,0.9927,0.948
0.4,6.0,40,-0.3877,0.2576,0.01668,2.117,1.0,1.412,1.022,2.434,0.9414,0.9927,0.948
0.4,6.0,41,-0.7744,0.353,0.01659,3.01,1.0,1.222,1.287,2.51,0.9414,0.9927,0.948
0.4,6.0,43,-3.543,0.349,0.0314,1.171,1.0,0.02766,2.488,2.516,0.9414,0.993,0.948
0.4,7.0,20,0.2089,0.03183,0.7065,0.2288,0.8716,1.774,0.4966,2.271,0.964,0.995,0.9683
0.4,7.0,21,0.772,9.36e-5,0.04257,0.02515,1.0,2.04,0.4602,2.5,0.964,0.995,0.9683
0.4,7.0,30,0.276,0.0321,0.3037,0.985,0.985,1.835,0.53,2.365,0.964,0.995,0.9683
0.4,7.0,31,0.7236,0.003534,0.037,1.545,1.0,2.01,0.4998,2.51,0.964,0.995,0.9683
0.4,7.0,40,-0.3118,0.244,0.0133,2.105,1.0,1.51,0.932,2.441,0.964,0.995,0.9683
